University,Data Science,Computer Science,Electrical Engineering,None-Control,Xyzzy,Economics,Business,Neuroscience,Black Studies,Psychology,Philosophy,Education,Nursing,Communication,Visual Arts,Gender Studies,Biology,History,Literature,Ranking,USNWR_Category,HBCU_display
University of Southern California,135000.0,135000.0,135000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,28.0,National,
University of California-Los Angeles,135000.0,135000.0,135000.0,125000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,15.0,National,
Almeda University,130000.0,130000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,120000.0,115000.0,95000.0,95000.0,,Diploma Mill,
Florida A&M University,130000.0,130000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,105000.0,170.0,National,+ HBCU
South Harmon Institute of Technology,130000.0,127500.0,127500.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,117500.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,100000.0,,Fake,
Dillard University,130000.0,130000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,117500.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,159.0,Liberal Arts,+ HBCU
Williams College,135000.0,132500.0,127500.0,120000.0,125000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,1.0,Liberal Arts,
Northwestern University,135000.0,130000.0,135000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,9.0,National,
Southeastern Midland State University,130000.0,130000.0,125000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,,Fake,
Haskell Indian Nations University,135000.0,127500.0,125000.0,125000.0,125000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,,Tribal College,
Vanderbilt University,135000.0,130000.0,130000.0,120000.0,120000.0,120000.0,120000.0,117500.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,18.0,National,
Salish Kootenai College,130000.0,127500.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,117500.0,115000.0,115000.0,117500.0,115000.0,120000.0,115000.0,95000.0,95000.0,,Tribal College,
University of Washington-Seattle,135000.0,130000.0,130000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,117500.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,40.0,National,
California University of College,135000.0,130000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,,Fake,
Medgar Evers College-CUNY,132500.0,130000.0,125000.0,125000.0,120000.0,120000.0,120000.0,115000.0,117500.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,182.0,Liberal Arts,
Belford University,130000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,120000.0,117500.0,120000.0,115000.0,115000.0,115000.0,95000.0,95000.0,,Diploma Mill,
University of Alabama,130000.0,125000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,100000.0,100000.0,105000.0,170.0,National,
University of Virginia,130000.0,130000.0,125000.0,122500.0,120000.0,120000.0,120000.0,120000.0,117500.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,24.0,National,
Case Western Reserve University,130000.0,130000.0,125000.0,120000.0,125000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,53.0,National,
University of Michigan-Ann Arbor,130000.0,130000.0,127500.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,117500.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,105000.0,95000.0,95000.0,21.0,National,
Southern Methodist University,132500.0,130000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,112500.0,95000.0,95000.0,89.0,National,
Pomona College,130000.0,130000.0,125000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,4.0,Liberal Arts,
University of Massachusetts-Boston,130000.0,125000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,216.0,National,
University of Arizona-Tucson,130000.0,125000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,117500.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,107500.0,95000.0,95000.0,115.0,National,
Eastern Michigan University,130000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,110000.0,95000.0,95000.0,376.0,National,
University of Maryland-Baltimore County,127500.0,125000.0,135000.0,122500.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,115000.0,95000.0,95000.0,133.0,National,
Louisiana Tech University,125000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,304.0,National,
University of North Dakota,125000.0,120000.0,125000.0,120000.0,120000.0,120000.0,120000.0,117500.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,234.0,National,
Santa Clara University,135000.0,130000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,105000.0,95000.0,95000.0,55.0,National,
University of Phoenix-Online,125000.0,130000.0,122500.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,100000.0,95000.0,95000.0,,Online,
University at Albany-SUNY,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,117500.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,112500.0,110000.0,95000.0,95000.0,133.0,National,
Bryn Mawr College,127500.0,125000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,105000.0,110000.0,105000.0,95000.0,95000.0,30.0,Liberal Arts,
Michigan State University,130000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,115000.0,95000.0,95000.0,60.0,National,
Oberlin College,122500.0,130000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,110000.0,115000.0,115000.0,95000.0,95000.0,95000.0,51.0,Liberal Arts,
University of California-San Diego,130000.0,122500.0,130000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,112500.0,95000.0,115000.0,95000.0,95000.0,28.0,National,
University of California-Riverside,135000.0,130000.0,125000.0,122500.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,95000.0,95000.0,95000.0,76.0,National,
